Student_id,Age_at_year_4,Year_1_Classes,Year_2_Classes,Year_3_Classes,Year_4_Classes,Year_1_Grades,Year_2_Grades,Year_3_Grades,Year_4_Grades,Year_1_Absences,Year_2_Absences,Year_3_Absences,Year_4_Absences,Year_1_Late_HW,Year_2_Late_HW,Year_3_Late_HW,Year_4_Late_HW,Year_1_Participation,Year_2_Participation,Year_3_Participation,Year_4_Participation
1,18,"Algebra 1, English 1, Biology, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Anatomy And Physiology, US History, Individual Sports, Personal Fitness, Theater","Algebra 2, English 3, Forensic Science, Economics, Chemistry, Film, Band","Environmental Science, English 4, Physical Science, Government, Spanish, Technical Writing, Volleyball","90.6, 65.0, 79.6, 90.0, 94.6, 77.3, 85.5","74.1, 68.2, 67.6, 71.2, 72.8, 62.5, 88.3","97.8, 84.6, 74.8, 99.4, 99.2, 63.2, 71.1","65.8, 82.7, 88.0, 71.3, 92.4, 97.4, 64.3",10,5,10,4,3,9,6,2,8,8,8,9
2,17,"Algebra 1, English 1, Biology, World History, Band, Volleyball, Math For Financial Literacy","Geometry, English 2, Environmental Science, US History, French, Personal Fitness, Technical Writing","Algebra 2, English 3, Chemistry, Economics, Individual Sports, Physical Science, Anatomy And Physiology","Math For College Readiness, English 4, Spanish, Government, Forensic Science, Latin, Basketball","77.1, 89.3, 70.1, 80.4, 75.0, 95.7, 92.4","79.8, 62.4, 81.5, 79.4, 94.8, 97.0, 64.7","89.0, 91.6, 88.1, 98.5, 93.4, 65.4, 63.9","84.7, 74.9, 75.1, 71.4, 94.6, 75.8, 99.1",9,8,0,10,1,2,8,4,8,8,7,9
3,18,"Algebra 1, English 1, Biology, World History, Band, Volleyball, Math For Financial Literacy","Geometry, English 2, Physical Science, US History, Chorus, Personal Fitness, Film","Algebra 2, English 3, Anatomy And Physiology, Economics, Chemistry, Math For College Readiness, Creative Writing","Theater, English 4, Latin, Government, Forensic Science, Basketball, Environmental Science","71.2, 79.7, 86.3, 71.8, 93.3, 68.9, 87.3","94.1, 82.7, 80.4, 95.3, 66.2, 67.2, 78.2","67.7, 92.7, 93.1, 73.9, 68.9, 71.9, 73.1","76.6, 87.0, 62.6, 97.8, 93.9, 67.8, 83.3",0,1,2,3,3,6,7,6,7,6,7,7
4,19,"Algebra 1, English 1, Physical Science, World History, Film, Weight Lifting, Math For Financial Literacy","Geometry, English 2, Chemistry, US History, Latin, Personal Fitness, French","Algebra 2, English 3, Forensic Science, Economics, Basketball, Creative Writing, Volleyball","Math For College Readiness, English 4, Spanish, Government, Chorus, Environmental Science, Band","73.5, 96.4, 63.0, 67.8, 95.0, 86.0, 96.7","96.3, 80.2, 97.5, 78.0, 91.4, 65.3, 69.6","76.9, 85.5, 86.2, 69.5, 62.7, 98.7, 78.8","95.8, 91.9, 70.3, 67.5, 89.0, 86.6, 84.6",10,3,1,7,6,10,1,1,9,8,6,7
5,20,"Algebra 1, English 1, Physical Science, World History, Band, Volleyball, Math For Financial Literacy","Geometry, English 2, Forensic Science, US History, Theater, Personal Fitness, Chemistry","Algebra 2, English 3, Anatomy And Physiology, Economics, Weight Lifting, French, Latin","Chorus, English 4, Environmental Science, Government, Biology, Film, Team Sports","81.4, 76.1, 67.6, 69.9, 99.5, 98.7, 61.6","91.9, 66.0, 98.7, 98.5, 64.2, 60.5, 95.7","73.2, 75.4, 86.3, 97.5, 77.2, 77.5, 81.7","82.4, 76.4, 86.1, 94.9, 87.0, 63.8, 94.0",2,1,10,5,8,3,1,0,10,9,8,7
6,18,"Algebra 1, English 1, Anatomy And Physiology, World History, Theater, Basketball, Math For Financial Literacy","Geometry, English 2, Biology, US History, Film, Personal Fitness, French","Algebra 2, English 3, Forensic Science, Economics, Chorus, Volleyball, Math For College Readiness","Individual Sports, English 4, Team Sports, Government, Creative Writing, Chemistry, Environmental Science","99.4, 64.0, 95.0, 74.6, 86.4, 94.6, 90.0","82.3, 78.3, 82.9, 92.9, 97.4, 72.1, 74.7","70.9, 78.7, 68.1, 97.9, 60.1, 98.3, 85.9","71.1, 95.4, 84.6, 75.3, 90.7, 94.6, 75.4",10,8,8,10,9,2,10,2,7,7,10,9
7,19,"Algebra 1, English 1, Environmental Science, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Chemistry, US History, Film, Personal Fitness, Physical Science","Algebra 2, English 3, Forensic Science, Economics, Latin, Volleyball, Spanish","Technical Writing, English 4, Theater, Government, French, Band, Individual Sports","92.9, 96.2, 90.2, 81.6, 99.8, 93.8, 99.0","94.1, 74.3, 72.8, 68.5, 80.4, 66.3, 89.5","64.0, 93.2, 74.9, 67.8, 73.8, 61.6, 82.4","96.7, 90.0, 60.4, 88.3, 87.0, 69.9, 70.8",4,5,6,7,1,2,1,3,6,9,6,7
8,18,"Algebra 1, English 1, Biology, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Anatomy And Physiology, US History, Weight Lifting, Personal Fitness, Basketball","Algebra 2, English 3, Environmental Science, Economics, Technical Writing, Chemistry, Theater","Forensic Science, English 4, Spanish, Government, Film, Math For College Readiness, Creative Writing","83.6, 67.4, 64.2, 93.1, 72.6, 75.9, 80.2","85.7, 76.8, 73.6, 68.0, 77.9, 68.7, 86.9","63.2, 63.1, 81.8, 88.0, 66.1, 71.5, 65.7","85.2, 83.2, 93.5, 64.1, 70.0, 92.9, 65.1",2,9,0,8,0,9,7,6,7,10,8,8
9,18,"Algebra 1, English 1, Anatomy And Physiology, World History, Film, Weight Lifting, Math For Financial Literacy","Geometry, English 2, Chemistry, US History, French, Personal Fitness, Physical Science","Algebra 2, English 3, Environmental Science, Economics, Latin, Volleyball, Team Sports","Spanish, English 4, Biology, Government, Basketball, Technical Writing, Theater","69.8, 77.3, 80.3, 74.7, 88.4, 74.2, 85.0","60.5, 69.9, 96.1, 69.0, 66.7, 71.1, 79.6","99.6, 94.2, 89.0, 93.5, 78.5, 73.1, 95.7","79.6, 73.2, 97.7, 78.5, 97.5, 65.8, 90.2",8,10,6,7,3,2,1,3,7,9,9,7
10,19,"Algebra 1, English 1, Biology, World History, Film, Weight Lifting, Math For Financial Literacy","Geometry, English 2, Chemistry, US History, Individual Sports, Personal Fitness, Math For College Readiness","English 3, Physical Science, Economics, Band, Forensic Science, Spanish","French, English 4, Technical Writing, Government, Chorus, Latin, Basketball","70.0, 65.8, 65.5, 75.0, 96.7, 74.0, 90.7","89.6, 68.0, 63.5, 83.9, 90.1, 64.5, 78.2","80.4, 72.7, 76.7, 91.9, 77.8, 99.1, 74.1","94.5, 60.7, 79.3, 65.3, 81.8, 80.6, 64.1",0,10,6,7,8,7,7,10,6,9,9,7
